country,Region,GDP per capita (current US$),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Pop. using improved sanitation facilities (urban/rural, %)"
Nicaragua,CentralAmerica,2086.9,20.0,9.0,0.9,,25.9,91,4.08
Niger,WesternAfrica,359.0,65.8,6.0,,6.7,0.9,101,12.26
Nigeria,WesternAfrica,2714.5,76.3,3.7,,,8.1,10851,0.52
Norway,NorthernEurope,74185.5,2.4,9.7,4.4,7.4,33.2,8204,
Oman,WesternAsia,15550.8,9.6,3.6,1.5,5.0,~0.0,3101,
Pakistan,SouthernAsia,1410.4,69.8,2.6,0.8,2.6,2.0,2202,1.32
Palau,Micronesia,12122.5,13.3,9.0,,,87.6,,5.05
Panama,CentralAmerica,13268.1,15.2,8.0,1.6,3.2,62.3,31,0.02
Papua New Guinea,Melanesia,2797.6,49.0,4.3,,,74.1,114,3.51
Paraguay,SouthAmerica,4174.4,28.8,9.8,1.3,5.0,39.4,325,0.22
Peru,SouthAmerica,6069.1,18.6,5.5,1.1,4.0,57.9,1020,0.18
Philippines,South-easternAsia,2904.2,22.2,4.7,,,26.2,991,0.15
Poland,EasternEurope,12355.5,4.5,6.4,2.3,4.9,30.7,2819,
Portugal,SouthernEurope,19239.2,2.9,9.5,4.4,5.1,34.9,250,
Puerto Rico,Caribbean,27939.0,6.3,,,6.4,55.5,1,
Qatar,WesternAsia,73653.4,7.2,2.2,2.0,3.6,0.0,9166,
Republic of Korea,EasternAsia,27396.7,3.0,7.4,2.2,5.1,63.5,2023,
Republic of Moldova,EasternEurope,1591.4,14.3,10.3,2.5,7.5,12.3,15,4.49
Romania,EasternEurope,9120.7,8.7,5.6,2.7,3.1,29.5,1109,
Russian Federation,EasternEurope,9243.3,8.3,7.1,3.3,3.9,49.8,54829,
Rwanda,EasternAfrica,697.3,44.0,7.5,,3.6,19.2,84,14.07
Saint Kitts and Nevis,Caribbean,15771.9,,5.1,,2.8,42.3,0,4.33
Saint Lucia,Caribbean,7839.4,10.9,6.7,,4.9,33.4,0,1.37
Saint Vincent and the Grenadines,Caribbean,6739.2,16.5,8.6,,,69.2,0,2.20
Samoa,Polynesia,4006.0,18.0,7.2,,,60.4,2,13.15
San Marino,SouthernEurope,49240.2,,6.1,6.4,2.4,0.0,,
Sao Tome and Principe,MiddleAfrica,1752.8,43.8,8.1,,3.8,55.8,1,12.39
Saudi Arabia,WesternAsia,20710.6,13.0,4.7,2.6,,0.5,25904,
Senegal,WesternAfrica,901.1,43.9,4.7,,7.4,43.2,77,6.49
Serbia,SouthernEurope,5238.6,9.8,10.4,2.5,4.2,31.1,393,1.30
Seychelles,EasternAfrica,14133.2,10.2,3.4,1.0,3.6,88.4,0,0.50
Sierra Leone,WesternAfrica,694.8,94.4,11.1,,2.7,41.3,53,21.56
Singapore,South-easternAsia,52239.0,2.1,4.9,1.9,2.9,23.1,27,
Slovakia,EasternEurope,16082.5,5.7,8.1,3.4,4.2,40.3,264,
Slovenia,SouthernEurope,20689.8,2.5,9.2,2.8,5.5,62.0,154,
Solomon Islands,Melanesia,1841.6,30.0,5.1,0.2,,78.3,3,16.47
Somalia,EasternAfrica,144.5,79.5,,0,,10.3,129,23.25
South Africa,SouthernAfrica,5773.0,36.5,8.8,0.8,6.0,7.6,7102,0.47
South Sudan,EasternAfrica,1067.0,77.7,2.7,,1.8,,337,21.07
Spain,SouthernEurope,25865.4,2.9,9.0,3.8,4.3,36.8,1432,
Sri Lanka,SouthernAsia,3973.7,8.2,3.5,,2.2,33.1,179,0.53
State of Palestine,WesternAsia,2715.5,20.0,,,1.3,1.5,9,17.52
Sudan,NorthernAfrica,1977.0,48.7,8.4,3.1,,,682,1.09
Suriname,SouthAmerica,8985.3,17.4,5.7,,,98.3,44,0.32
Swaziland,SouthernAfrica,3211.7,56.3,9.3,,7.0,33.8,39,2.39
Sweden,NorthernEurope,50687.5,2.4,11.9,4.1,7.7,68.9,1428,
Switzerland,WesternEurope,80831.1,3.9,11.7,4.1,5.1,31.6,552,
Syrian Arab Republic,WesternAsia,1534.5,17.9,3.3,1.5,,2.7,237,
Tajikistan,CentralAsia,925.9,38.9,6.9,1.7,5.2,3.0,76,4.55
Thailand,South-easternAsia,5814.8,11.2,4.1,,4.1,32.0,3338,0.02
The former Yugoslav Republic of Macedonia,SouthernEurope,4836.1,9.0,6.5,2.8,,39.6,53,2.18
Timor-Leste,South-easternAsia,2425.4,43.9,1.5,0.1,7.8,46.9,143,9.29
Togo,WesternAfrica,559.4,55.7,5.2,,5.2,3.8,111,5.51
Tonga,Polynesia,3784.5,20.6,5.2,,,12.5,0,18.30
Trinidad and Tobago,Caribbean,19062.9,24.8,5.9,,,45.4,1663,
Tunisia,NorthernAfrica,3660.9,18.5,7.0,1.6,6.3,6.6,274,1.14
Turkey,WesternAsia,9125.8,12.6,5.4,1.7,4.8,15.1,1303,0.30
Turkmenistan,CentralAsia,6996.7,46.9,2.1,2.3,3.1,8.8,3270,0.07
Turks and Caicos Islands,Caribbean,25121.8,,,,3.3,36.2,0,
Tuvalu,Polynesia,3362.4,,16.5,,,33.3,,63.52.00
Uganda,EasternAfrica,647.7,60.2,7.2,,2.2,11.0,409,6.35
Ukraine,EasternEurope,2021.6,8.8,7.1,3.0,5.9,16.6,3203,2.03
United Arab Emirates,WesternAsia,40438.8,6.2,3.6,1.6,,3.8,8642,
United Kingdom,NorthernEurope,44162.4,4.1,9.1,2.8,5.7,12.9,4482,
United Republic of Tanzania,EasternAfrica,877.3,44.0,5.6,~0.0,3.5,52.4,935,6.25
United States of America,NorthernAmerica,56053.8,6.0,17.1,2.6,5.4,33.9,83887,
Uruguay,SouthAmerica,15573.8,12.7,8.6,,4.4,10.4,113,0.04
Uzbekistan,CentralAsia,2308.3,31.3,5.8,2.5,,7.6,2339,1.06
Vanuatu,Melanesia,2783.0,24.3,5.0,0.2,5.5,36.1,1,12.32
Venezuela (Bolivarian Republic of),SouthAmerica,11068.9,13.8,5.3,,,53.1,7460,0.01
Viet Nam,South-easternAsia,2067.9,19.3,7.1,1.2,5.7,47.2,2977,2.13
Yemen,WesternAsia,1106.4,47.2,5.6,0.3,,1.0,668,3.39
Zambia,EasternAfrica,1311.1,53.8,5.0,0.2,,65.6,374,4.36
Zimbabwe,EasternAfrica,890.4,46.5,6.0,0.1,8.4,37.2,482,6.00
